,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Verkhnevilyuysk,63.4453,120.3167,0.93,97,100,4.3,RU,1635026758
1,Albany,42.6001,-73.9662,10.97,63,96,3.21,US,1635026752
2,Mataura,-46.1927,168.8643,11.52,95,100,0.38,NZ,1635026663
3,San Patricio,28.017,-97.5169,30.23,53,14,6.9,US,1635026758
4,Maple Creek,49.9168,-109.4848,10.92,59,100,5.51,CA,1635026758
5,Khatanga,71.9667,102.5,-11.97,93,100,7.69,RU,1635026759
6,Hermanus,-34.4187,19.2345,13.83,71,14,1.14,ZA,1635026707
7,Punta Arenas,-53.15,-70.9167,3.06,81,90,12.86,CL,1635026641
8,Busselton,-33.65,115.3333,10.05,77,92,2.1,AU,1635026634
9,Norman Wells,65.282,-126.8329,2.52,84,12,1.05,CA,1635026759
10,Auki,-8.7676,160.7034,28.93,68,20,1.12,SB,1635026759
11,Sohag,26.557,31.6948,21.85,46,3,4.4,EG,1635025900
12,Cape Town,-33.9258,18.4232,14.59,71,20,2.11,ZA,1635026740
13,São Filipe,14.8961,-24.4956,26.47,71,10,4.09,CV,1635026760
14,Esim,4.8699,-2.2405,25.72,83,93,2.28,GH,1635026760
15,Lebu,-37.6167,-73.65,11.96,80,20,4.15,CL,1635026760
16,Ushuaia,-54.8,-68.3,0.81,93,75,8.23,AR,1635026761
17,Svetlaya,46.5389,138.3297,5.54,69,1,3.01,RU,1635026510
18,Tuktoyaktuk,69.4541,-133.0374,-3.11,92,42,2.84,CA,1635026761
19,Hobart,-42.8794,147.3294,10.01,87,75,1.34,AU,1635026762
20,Katherine,-14.4667,132.2667,27.18,69,6,1.54,AU,1635026625
21,Yumen,40.2833,97.2,4.09,38,100,3.38,CN,1635026763
22,Buraidah,26.326,43.975,24.73,18,0,3.03,SA,1635026763
23,Airai,-8.9266,125.4092,17.22,68,28,0.98,TL,1635026763
24,Atuona,-9.8,-139.0333,25.8,76,21,8.06,PF,1635026561
25,Rikitea,-23.1203,-134.9692,23.82,82,97,8.98,PF,1635026661
26,Hithadhoo,-0.6,73.0833,28.04,73,70,5.34,MV,1635026752
27,Nikolskoye,59.7035,30.7861,1.94,95,98,4.03,RU,1635026616
28,Iqaluit,63.7506,-68.5145,-0.15,80,90,4.92,CA,1635026764
